transaction_id,customer_id,bank_name,account_type,merchant_name,merchant_category,transaction_amount,currency,payment_method,upi_app,transaction_type,transaction_hour,transaction_day,transaction_month,customer_age,occupation,annual_income,state,city,device_type,device_brand,mobile_network,authentication_method,authentication_status,login_attempts,failed_login_count,previous_transactions,average_transaction_amount,account_balance,beneficiary_age_days,beneficiary_bank,merchant_risk_score,device_trust_score,ip_risk_score,transaction_distance_km,location_match,new_device,international_transaction,weekend_transaction,high_value_transaction,transaction_duration_sec,fraud_label
TXN1000034,CUST48175,State Bank of India,Current,Swiggy,Shopping Mall,4172.66,INR,Mobile Wallet,PhonePe,Ticket Booking,7,Wednesday,November,55,Government,1933162,Bihar,Patna,Android,Vivo,Airtel,Biometric,Success,2,0,7,5544.39,759865.03,680,Punjab National Bank,73.94,69.07,41.82,2331.82,Yes,Yes,Yes,Yes,No,234.39,Legitimate
TXN1000035,CUST26299,Bank of Baroda,Salary,Airtel,Shopping Mall,5191.76,INR,Mobile Wallet,BHIM,Purchase,19,Monday,July,65,Farmer,1200119,Delhi,New Delhi,Android,Apple,Airtel,OTP,Success,6,2,73,4679.81,314695.06,165,ICICI Bank,83.77,65.53,6.35,92.05,Yes,Yes,No,No,No,244.81,Fraudulent
TXN1000036,CUST46458,ICICI Bank,Business,Tata Power,Pharmacy,2969.89,INR,Mobile Wallet,Paytm,Recharge,10,Wednesday,November,24,Business,1533296,Haryana,Faridabad,Laptop,Motorola,Vi,MPIN,Success,5,0,58,4026.61,198254.81,361,Canara Bank,47.8,30.33,95.41,1515.44,Yes,No,No,No,No,84.26,Legitimate
TXN1000037,CUST25194,Union Bank of India,Savings,BookMyShow,Travel,3049.43,INR,Net Banking,PhonePe,Bill Payment,16,Wednesday,October,66,Retired,2004054,Uttar Pradesh,Kanpur,Android,Vivo,Vi,UPI PIN,Success,3,3,112,2991.39,246567.9,2861,Bank of Baroda,82.56,97.44,8.84,1979.54,Yes,No,No,Yes,No,187.99,Legitimate
TXN1000038,CUST92578,Kotak Mahindra Bank,Current,Big Bazaar,Shopping Mall,2215.62,INR,UPI,Amazon Pay,Recharge,2,Tuesday,February,47,Employee,795801,Andhra Pradesh,Visakhapatnam,Laptop,Oppo,Vi,MPIN,Success,4,3,31,1950.79,314099.11,1871,Indian Bank,46.56,92.33,34.83,1284.97,Yes,No,No,Yes,No,210.8,Legitimate
TXN1000039,CUST34983,Kotak Mahindra Bank,Current,Apollo Pharmacy,Shopping Mall,2360.59,INR,Net Banking,Paytm,Cash Withdrawal,8,Sunday,January,36,Self-Employed,2203700,Telangana,Warangal,iPhone,Motorola,BSNL,Biometric,Success,3,3,58,3006.62,53455.66,3821,Canara Bank,9.36,69.66,34.74,522.83,Yes,No,No,Yes,No,42.77,Legitimate
TXN1000040,CUST41300,Kotak Mahindra Bank,Business,Flipkart,Education,3706.07,INR,UPI,Paytm,Ticket Booking,15,Saturday,July,42,Business,2227558,Gujarat,Vadodara,Android,Xiaomi,Vi,OTP,Success,4,0,67,3248.5,379432.33,3730,Bank of Baroda,68.42,33.79,19.23,102.17,Yes,No,No,Yes,No,166.87,Legitimate
TXN1000041,CUST63736,ICICI Bank,Savings,Tata Power,Shopping Mall,1518.49,INR,Credit Card,Amazon Pay,Ticket Booking,12,Saturday,February,72,Farmer,2388174,Tamil Nadu,Coimbatore,Laptop,Realme,BSNL,OTP,Success,5,0,30,1997.38,264414.56,2586,Punjab National Bank,35.55,27.38,48.11,1719.46,Yes,No,No,Yes,No,86.68,Legitimate
TXN1000042,CUST66881,HDFC Bank,Savings,BSNL,Fuel Station,1777.72,INR,Debit Card,PhonePe,Purchase,10,Sunday,January,36,Farmer,1722197,Rajasthan,Jaipur,Laptop,Xiaomi,Airtel,MPIN,Success,5,1,21,1593.51,494794.69,718,HDFC Bank,40.05,57.0,74.75,91.71,Yes,No,No,No,No,226.14,Legitimate
TXN1000043,CUST75230,Kotak Mahindra Bank,Current,Flipkart,Travel,4192.01,INR,Debit Card,BHIM,Money Transfer,21,Monday,August,75,Self-Employed,2442598,Odisha,Bhubaneswar,iPhone,Apple,BSNL,Biometric,Success,5,2,81,3702.88,84342.9,3941,Union Bank of India,75.05,34.58,56.4,2101.77,Yes,No,No,Yes,No,180.11,Legitimate
TXN1000044,CUST49599,Axis Bank,Business,Tata Power,Pharmacy,2945.0,INR,RTGS,BHIM,Cash Withdrawal,11,Friday,May,62,Self-Employed,242021,Uttar Pradesh,Kanpur,Laptop,Oppo,Jio,OTP,Success,5,3,106,3032.42,596478.86,3704,Punjab National Bank,46.01,30.21,28.38,907.71,Yes,No,No,Yes,No,102.45,Fraudulent
TXN1000045,CUST38705,Axis Bank,Salary,Bharat Petroleum,E-Commerce,6717.03,INR,IMPS,CRED,Ticket Booking,1,Wednesday,August,20,Farmer,701181,Rajasthan,Jodhpur,Android,Oppo,Vi,MPIN,Success,2,1,16,5241.07,390503.94,3222,Indian Bank,85.83,27.03,80.59,139.13,Yes,Yes,Yes,Yes,No,294.8,Legitimate
TXN1000046,CUST31567,Punjab National Bank,Business,Swiggy,Hospital,3758.1,INR,IMPS,BHIM,Purchase,4,Sunday,April,73,Homemaker,2487538,Punjab,Amritsar,Tablet,Apple,BSNL,OTP,Success,3,0,58,4711.37,137124.63,1510,Punjab National Bank,68.52,94.35,55.68,1429.03,Yes,No,No,No,No,214.73,Legitimate
TXN1000047,CUST24201,Axis Bank,Business,Reliance Fresh,Telecom,2802.84,INR,Credit Card,Amazon Pay,Bill Payment,20,Monday,November,70,Retired,1417477,Odisha,Bhubaneswar,Laptop,Apple,Airtel,OTP,Success,1,2,63,2869.75,614339.71,476,HDFC Bank,13.29,60.49,93.2,801.61,Yes,No,No,Yes,No,23.7,Fraudulent
TXN1000048,CUST60940,Bank of Baroda,Salary,BookMyShow,Education,5290.42,INR,NEFT,BHIM,Ticket Booking,3,Sunday,August,57,Homemaker,1323315,Rajasthan,Jaipur,Android,Realme,Airtel,MPIN,Success,4,1,109,6058.6,476713.17,1486,HDFC Bank,49.8,52.95,34.89,2323.82,Yes,No,No,No,No,297.32,Legitimate
TXN1000049,CUST17936,Union Bank of India,Salary,Amazon India,Pharmacy,2000.43,INR,Mobile Wallet,PhonePe,Ticket Booking,6,Saturday,November,56,Student,362141,Punjab,Amritsar,Tablet,Vivo,Airtel,UPI PIN,Success,1,1,75,2682.9,38951.67,885,Axis Bank,79.24,86.24,75.05,1998.84,Yes,No,No,No,No,159.3,Legitimate
TXN1000050,CUST88116,State Bank of India,Salary,Bharat Petroleum,Fuel Station,2479.4,INR,Debit Card,Navi,Bill Payment,3,Saturday,January,26,Student,1652577,West Bengal,Kolkata,iPhone,Realme,Jio,UPI PIN,Success,3,0,16,2358.67,370412.49,3039,Union Bank of India,33.63,79.81,50.27,580.53,Yes,No,No,No,No,72.56,Legitimate
TXN1000051,CUST72422,Bank of Baroda,Salary,LIC India,Telecom,5129.22,INR,IMPS,BHIM,Cash Withdrawal,7,Friday,January,64,Self-Employed,2071169,Andhra Pradesh,Visakhapatnam,Android,Samsung,BSNL,MPIN,Success,4,0,62,4443.2,555127.23,2918,Bank of Baroda,20.84,90.29,49.54,1853.65,Yes,No,No,Yes,No,78.3,Legitimate
TXN1000052,CUST52219,Kotak Mahindra Bank,Current,Apollo Pharmacy,Fuel Station,3096.94,INR,Debit Card,Amazon Pay,Ticket Booking,18,Friday,December,38,Homemaker,2375316,Kerala,Kochi,Tablet,Motorola,BSNL,OTP,Success,6,0,109,4030.4,657095.22,2682,Indian Bank,15.51,87.72,12.75,993.22,Yes,Yes,No,No,No,232.71,Legitimate
TXN1000053,CUST69186,Axis Bank,Business,Zomato,Travel,2147.95,INR,Net Banking,BHIM,Ticket Booking,3,Wednesday,July,38,Self-Employed,1719932,Gujarat,Surat,iPhone,Motorola,Jio,OTP,Success,1,0,55,2260.52,479423.98,396,Canara Bank,83.55,96.73,34.25,568.38,Yes,No,No,No,No,177.94,Legitimate
TXN1000054,CUST86869,Indian Bank,Salary,Indian Oil,Education,2593.92,INR,Credit Card,Navi,Ticket Booking,13,Sunday,December,21,Self-Employed,1460505,Telangana,Hyderabad,Tablet,Apple,Airtel,UPI PIN,Success,6,3,28,3490.62,557472.33,3471,HDFC Bank,92.64,76.58,15.25,1440.72,Yes,No,No,No,No,252.93,Legitimate
TXN1000055,CUST25058,Punjab National Bank,Current,Jio,Utility Bill,3049.3,INR,UPI,Amazon Pay,Ticket Booking,22,Wednesday,January,29,Self-Employed,1445975,Punjab,Amritsar,Tablet,Realme,Jio,UPI PIN,Success,2,3,8,2405.06,149463.54,582,State Bank of India,84.56,46.57,31.14,568.49,Yes,No,No,No,No,241.84,Legitimate
TXN1000056,CUST79531,Axis Bank,Business,Jio,Travel,1432.92,INR,Credit Card,Google Pay,Money Transfer,9,Saturday,June,67,Employee,370657,Kerala,Kozhikode,iPhone,Xiaomi,Jio,OTP,Success,3,3,84,1914.22,277889.08,1737,Bank of Baroda,75.06,56.18,22.46,1131.1,Yes,No,No,No,No,14.99,Legitimate
TXN1000057,CUST45804,Axis Bank,Savings,IRCTC,Education,808.31,INR,IMPS,Paytm,Ticket Booking,21,Friday,August,51,Self-Employed,340494,Bihar,Patna,iPhone,OnePlus,Jio,OTP,Success,2,2,27,664.49,170538.29,3144,ICICI Bank,53.94,98.04,45.9,1393.26,Yes,No,No,Yes,No,180.64,Legitimate
TXN1000058,CUST53007,HDFC Bank,Savings,Tata Power,Education,1716.55,INR,NEFT,Google Pay,Recharge,17,Saturday,April,50,Farmer,452306,Uttar Pradesh,Kanpur,Laptop,Samsung,BSNL,OTP,Success,4,0,110,1311.64,29721.46,1283,Kotak Mahindra Bank,49.85,65.19,6.57,1938.82,Yes,No,No,No,No,151.62,Legitimate
TXN1000059,CUST93904,Union Bank of India,Salary,Indian Oil,Education,4421.34,INR,UPI,Paytm,Bill Payment,19,Thursday,December,76,Farmer,519643,Assam,Guwahati,Laptop,Apple,Airtel,MPIN,Success,5,3,67,3835.47,602720.35,323,Union Bank of India,30.87,91.79,52.66,2001.87,No,No,No,No,No,12.99,Legitimate
TXN1000060,CUST39041,Canara Bank,Current,Apollo Pharmacy,Utility Bill,4539.08,INR,IMPS,Amazon Pay,Cash Withdrawal,6,Sunday,June,40,Business,1140983,Delhi,New Delhi,Android,Xiaomi,Vi,UPI PIN,Success,2,1,97,3101.49,143246.46,3110,HDFC Bank,67.01,39.05,9.94,607.93,Yes,No,No,No,No,283.6,Legitimate
TXN1000061,CUST74764,Bank of Baroda,Business,Zomato,E-Commerce,1301.28,INR,Credit Card,Google Pay,Recharge,2,Thursday,August,58,Self-Employed,1302064,Maharashtra,Nagpur,Android,Realme,Jio,Biometric,Success,4,3,4,1118.05,506776.0,234,Canara Bank,74.91,87.85,12.28,2191.11,Yes,No,No,Yes,No,105.84,Legitimate
TXN1000062,CUST94497,HDFC Bank,Business,BSNL,Telecom,6196.75,INR,UPI,BHIM,Cash Withdrawal,20,Tuesday,June,56,Retired,2252886,Delhi,New Delhi,iPhone,Samsung,BSNL,OTP,Success,3,0,64,6812.21,441861.72,2647,ICICI Bank,46.43,43.56,94.85,1909.01,Yes,No,No,No,No,143.96,Legitimate
TXN1000063,CUST67377,Bank of Baroda,Current,IRCTC,Hospital,732.85,INR,Debit Card,BHIM,Recharge,10,Saturday,October,21,Farmer,426454,Karnataka,Bengaluru,Tablet,Apple,BSNL,Biometric,Success,3,1,42,740.15,559227.26,334,Kotak Mahindra Bank,43.24,37.44,64.51,1054.26,Yes,No,No,Yes,No,10.43,Legitimate
TXN1000064,CUST50662,Union Bank of India,Current,Apollo Pharmacy,Shopping Mall,3344.66,INR,Net Banking,CRED,Money Transfer,4,Saturday,December,71,Employee,1925895,Telangana,Warangal,Tablet,Samsung,Vi,Biometric,Success,2,1,43,3489.63,663878.57,3882,Bank of Baroda,24.61,20.88,13.69,2250.05,Yes,No,No,Yes,No,150.81,Legitimate
TXN1000065,CUST28030,ICICI Bank,Savings,Swiggy,Pharmacy,1472.47,INR,UPI,CRED,Money Transfer,19,Tuesday,October,42,Business,830514,Gujarat,Ahmedabad,iPhone,Xiaomi,BSNL,OTP,Success,4,2,86,1359.83,337917.83,2948,Axis Bank,38.62,96.69,18.44,225.84,Yes,Yes,No,Yes,No,109.92,Legitimate
TXN1000066,CUST68841,Axis Bank,Current,Swiggy,Travel,4178.87,INR,RTGS,Paytm,Ticket Booking,18,Thursday,August,67,Self-Employed,1751689,Bihar,Patna,Laptop,Xiaomi,Airtel,UPI PIN,Success,3,0,82,4726.04,586191.39,1969,Canara Bank,25.42,22.49,26.23,1487.69,Yes,No,No,No,No,188.88,Legitimate
TXN1000067,CUST47363,HDFC Bank,Current,Myntra,Travel,732.5,INR,NEFT,Navi,Recharge,2,Tuesday,August,74,Farmer,261862,Andhra Pradesh,Visakhapatnam,Laptop,Samsung,BSNL,Biometric,Success,2,3,10,645.5,564087.98,1536,Axis Bank,61.84,56.77,7.59,194.41,Yes,No,Yes,No,No,111.49,Legitimate
TXN1000068,CUST22987,Canara Bank,Current,Bharat Petroleum,Grocery,2821.92,INR,Debit Card,Navi,Recharge,22,Sunday,March,66,Retired,2031570,Tamil Nadu,Madurai,Android,Apple,Jio,Biometric,Success,2,1,70,2916.51,585913.8,3852,Kotak Mahindra Bank,81.62,72.7,69.23,2122.99,Yes,No,No,No,No,20.22,Legitimate
TXN1000069,CUST47762,Axis Bank,Salary,Indian Oil,Grocery,4290.63,INR,RTGS,BHIM,Ticket Booking,19,Thursday,February,25,Retired,2398372,Assam,Guwahati,Android,Vivo,Airtel,Biometric,Failed,4,0,78,4593.6,444867.36,1446,Axis Bank,49.95,45.03,12.05,1827.56,Yes,Yes,No,Yes,No,144.89,Legitimate
TXN1000070,CUST97080,HDFC Bank,Salary,Apollo Pharmacy,Utility Bill,2166.58,INR,UPI,BHIM,Recharge,1,Saturday,July,80,Farmer,1213886,Assam,Guwahati,Android,Realme,Jio,Biometric,Success,2,0,98,1364.09,184392.07,2384,Canara Bank,16.45,26.16,69.63,849.69,Yes,Yes,No,Yes,No,163.83,Legitimate
TXN1000071,CUST56176,Indian Bank,Salary,Big Bazaar,E-Commerce,4964.88,INR,Mobile Wallet,CRED,Recharge,20,Tuesday,March,22,Retired,305121,Telangana,Hyderabad,Tablet,Vivo,Jio,UPI PIN,Success,1,2,119,5044.99,701393.97,1271,Indian Bank,44.66,56.96,99.03,0.59,Yes,No,No,Yes,No,299.39,Legitimate
